Gender,Age,Debt,Married,BankCustomer,Industry,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,DriversLicense,Citizen,ZipCode,Income,Approved
male,24.58,12.5,married,customer,Industrials,White,0.875,not defaulted,unemployed,0,licensed,ByBirth,260,0,-
female,33.75,0.75,married,customer,Financials,Asian,1,not defaulted,employed,3,licensed,ByBirth,212,0,-
male,20.67,1.25,unmarried,non customer,Energy,Black,1.375,not defaulted,employed,3,licensed,ByBirth,140,210,-
female,25.42,1.125,married,customer,Materials,White,1.29,not defaulted,employed,2,unlicensed,ByBirth,200,0,-
male,37.75,7,married,customer,Materials,Black,11.5,not defaulted,employed,7,licensed,ByBirth,300,5,-
male,52.5,6.5,married,customer,Financials,White,6.29,not defaulted,employed,15,unlicensed,ByBirth,0,11202,+
male,57.83,7.04,married,customer,CommServ,White,14,not defaulted,employed,6,licensed,ByBirth,360,1332,+
female,20.75,10.335,married,customer,IT,Black,0.335,not defaulted,employed,1,licensed,ByBirth,80,50,+
male,39.92,6.21,married,customer,Materials,White,0.04,not defaulted,employed,1,unlicensed,ByBirth,200,300,+
male,25.67,12.5,married,customer,IT,White,1.21,not defaulted,employed,67,licensed,ByBirth,140,258,+
female,24.75,12.5,married,customer,ConsStaps,White,1.5,not defaulted,employed,12,licensed,ByBirth,120,567,+
female,44.17,6.665,married,customer,Materials,White,7.375,not defaulted,employed,3,licensed,ByBirth,0,0,+
female,23.5,9,married,customer,Materials,White,8.5,not defaulted,employed,5,licensed,ByBirth,120,0,+
male,34.92,5,married,customer,Utilities,Black,7.5,not defaulted,employed,6,licensed,ByBirth,0,1000,+
male,47.67,2.5,married,customer,CommServ,Asian,2.5,not defaulted,employed,12,licensed,ByBirth,410,2510,+
male,22.75,11,married,customer,Materials,White,2.5,not defaulted,employed,7,licensed,ByBirth,100,809,+
male,34.42,4.25,married,customer,ConsDisc,Asian,3.25,not defaulted,employed,2,unlicensed,ByBirth,274,610,+
female,28.42,3.5,married,customer,Industrials,White,0.835,not defaulted,unemployed,0,unlicensed,ByOtherMeans,280,0,+
male,67.75,5.5,married,customer,Education,Other,13,not defaulted,employed,1,licensed,ByBirth,0,0,+
male,20.42,1.835,married,customer,Energy,White,2.25,not defaulted,employed,1,unlicensed,ByBirth,100,150,+
female,47.42,8,married,customer,Education,Asian,6.5,not defaulted,employed,6,unlicensed,ByBirth,375,51100,+
male,36.25,5,married,customer,Energy,Asian,2.5,not defaulted,employed,6,unlicensed,ByBirth,0,367,+
male,32.67,5.5,married,customer,Materials,Black,5.5,not defaulted,employed,12,licensed,ByBirth,408,1000,+
male,48.58,6.5,married,customer,Materials,Black,6,not defaulted,unemployed,0,licensed,ByBirth,350,0,+
male,39.92,0.54,unmarried,non customer,ConsStaps,White,0.5,not defaulted,employed,3,unlicensed,ByBirth,200,1000,+
male,33.58,2.75,married,customer,CommServ,White,4.25,not defaulted,employed,6,unlicensed,ByBirth,204,0,+
female,18.83,9.5,married,customer,Industrials,White,1.625,not defaulted,employed,6,licensed,ByBirth,40,600,+
female,26.92,13.5,married,customer,Materials,Black,5,not defaulted,employed,2,unlicensed,ByBirth,0,5000,+
female,31.25,3.75,married,customer,IT,Black,0.625,not defaulted,employed,9,licensed,ByBirth,181,0,+
female,56.5,16,married,customer,Research,Latino,0,not defaulted,employed,15,unlicensed,ByBirth,0,247,+
male,43,0.29,unmarried,non customer,IT,Black,1.75,not defaulted,employed,8,unlicensed,ByBirth,100,375,+
male,22.33,11,married,customer,Industrials,White,2,not defaulted,employed,1,unlicensed,ByBirth,80,278,+
male,27.25,1.665,married,customer,IT,Black,5.085,not defaulted,employed,9,unlicensed,ByBirth,399,827,+
male,32.83,2.5,married,customer,IT,Black,2.75,not defaulted,employed,6,unlicensed,ByBirth,160,2072,+
male,23.25,1.5,married,customer,Materials,White,2.375,not defaulted,employed,3,licensed,ByBirth,0,582,+
female,40.33,7.54,unmarried,non customer,Materials,Black,8,not defaulted,employed,14,unlicensed,ByBirth,0,2300,+
female,30.5,6.5,married,customer,Energy,Asian,4,not defaulted,employed,7,licensed,ByBirth,0,3065,+
female,52.83,15,married,customer,Energy,White,5.5,not defaulted,employed,14,unlicensed,ByBirth,0,2200,+
female,46.67,0.46,married,customer,IT,Black,0.415,not defaulted,employed,11,licensed,ByBirth,440,6,+
female,58.33,10,married,customer,Materials,White,4,not defaulted,employed,14,unlicensed,ByBirth,0,1602,+
male,37.33,6.5,married,customer,CommServ,Black,4.25,not defaulted,employed,12,licensed,ByBirth,93,0,+
male,23.08,2.5,married,customer,Energy,White,1.085,not defaulted,employed,11,licensed,ByBirth,60,2184,+
male,32.75,1.5,married,customer,IT,Black,5.5,not defaulted,employed,3,licensed,ByBirth,0,0,+
female,21.67,11.5,unmarried,non customer,Research,Other,0,not defaulted,employed,11,licensed,ByBirth,0,0,+
female,28.5,3.04,unmarried,non customer,Utilities,Black,2.54,not defaulted,employed,1,unlicensed,ByBirth,70,0,+
female,68.67,15,married,customer,Education,Other,0,not defaulted,employed,14,unlicensed,ByBirth,0,3376,+
male,28,2,married,customer,Financials,Black,4.165,not defaulted,employed,2,licensed,ByBirth,181,0,+
male,34.08,0.08,unmarried,non customer,CommServ,Asian,0.04,not defaulted,employed,1,licensed,ByBirth,280,2000,+
male,27.67,2,married,customer,Utilities,Black,1,not defaulted,employed,4,unlicensed,ByBirth,140,7544,+
male,44,2,married,customer,CommServ,White,1.75,not defaulted,employed,2,licensed,ByBirth,0,15,+
male,25.08,1.71,married,customer,Utilities,White,1.665,not defaulted,employed,1,licensed,ByBirth,395,20,+
male,32,1.75,unmarried,non customer,Education,Black,0.04,not defaulted,unemployed,0,licensed,ByBirth,393,0,+
female,60.58,16.5,married,customer,Materials,White,11,not defaulted,unemployed,0,licensed,ByBirth,21,10561,+
female,40.83,10,married,customer,Materials,Black,1.75,not defaulted,unemployed,0,unlicensed,ByBirth,29,837,+
male,19.33,9.5,married,customer,Materials,White,1,not defaulted,unemployed,0,licensed,ByBirth,60,400,+
female,32.33,0.54,married,customer,IT,White,0.04,not defaulted,unemployed,0,unlicensed,ByBirth,440,11177,+
male,36.67,3.25,married,customer,Materials,Black,9,not defaulted,unemployed,0,licensed,ByBirth,102,639,+
male,37.5,1.125,unmarried,non customer,Real Estate,White,1.5,defaulted,unemployed,0,licensed,ByBirth,431,0,+
female,25.08,2.54,unmarried,non customer,ConsStaps,White,0.25,not defaulted,unemployed,0,licensed,ByBirth,370,0,+
male,41.33,0,married,customer,Energy,Asian,15,not defaulted,unemployed,0,unlicensed,ByBirth,0,0,+
male,56,12.5,married,customer,Financials,Black,8,not defaulted,unemployed,0,licensed,ByBirth,24,2028,+
female,49.83,13.585,married,customer,Financials,Black,8.5,not defaulted,unemployed,0,licensed,ByBirth,0,0,+
male,22.67,10.5,married,customer,Materials,Black,1.335,not defaulted,unemployed,0,unlicensed,ByBirth,100,0,+
male,27,1.5,unmarried,non customer,Industrials,White,0.375,not defaulted,unemployed,0,licensed,ByBirth,260,1065,+
male,25,12.5,married,customer,ConsStaps,White,3,not defaulted,unemployed,0,licensed,ByOtherMeans,20,0,+
female,26.08,8.665,married,customer,ConsStaps,White,1.415,not defaulted,unemployed,0,unlicensed,ByBirth,160,150,+
female,18.42,9.25,married,customer,Materials,White,1.21,not defaulted,employed,4,unlicensed,ByBirth,60,540,+
male,20.17,8.17,married,customer,ConsStaps,White,1.96,not defaulted,employed,14,unlicensed,ByBirth,60,158,+
male,47.67,0.29,married,customer,Energy,Asian,15,not defaulted,employed,20,unlicensed,ByBirth,0,15000,+
female,21.25,2.335,married,customer,ConsDisc,Asian,0.5,not defaulted,employed,4,unlicensed,ByOtherMeans,80,0,+
female,20.67,3,married,customer,Materials,White,0.165,not defaulted,employed,3,unlicensed,ByBirth,100,6,+
female,57.08,19.5,married,customer,Energy,White,5.5,not defaulted,employed,7,unlicensed,ByBirth,0,3000,+
female,22.42,5.665,married,customer,Materials,White,2.585,not defaulted,employed,7,unlicensed,ByBirth,129,3257,+
male,48.75,8.5,married,customer,Energy,Black,12.5,not defaulted,employed,9,unlicensed,ByBirth,181,1655,+
male,40,6.5,married,customer,ConsStaps,Asian,3.5,not defaulted,employed,1,unlicensed,ByBirth,0,500,+
male,40.58,5,married,customer,Energy,White,5,not defaulted,employed,7,unlicensed,ByBirth,0,3065,+
female,28.67,1.04,married,customer,Energy,White,2.5,not defaulted,employed,5,licensed,ByBirth,300,1430,+
female,33.08,4.625,married,customer,Materials,Black,1.625,not defaulted,employed,2,unlicensed,ByBirth,0,0,+
male,21.33,10.5,married,customer,Energy,White,3,not defaulted,unemployed,0,licensed,ByBirth,0,0,+
male,42,0.205,married,customer,ConsDisc,Black,5.125,not defaulted,unemployed,0,unlicensed,ByBirth,400,0,+
male,41.75,0.96,married,customer,Utilities,White,2.5,not defaulted,unemployed,0,unlicensed,ByBirth,510,600,+
male,22.67,1.585,unmarried,non customer,Industrials,White,3.085,not defaulted,employed,6,unlicensed,ByBirth,80,0,+
male,34.5,4.04,unmarried,non customer,ConsDisc,Asian,8.5,not defaulted,employed,7,licensed,ByBirth,195,0,+
male,28.25,5.04,unmarried,non customer,Energy,Asian,1.5,not defaulted,employed,8,licensed,ByBirth,144,7,+
male,33.17,3.165,unmarried,non customer,Utilities,White,3.165,not defaulted,employed,3,licensed,ByBirth,380,0,+
male,48.17,7.625,married,customer,Industrials,Black,15.5,not defaulted,employed,12,unlicensed,ByBirth,0,790,+
male,27.58,2.04,unmarried,non customer,ConsStaps,White,2,not defaulted,employed,3,licensed,ByBirth,370,560,+
male,22.58,10.04,married,customer,Utilities,White,0.04,not defaulted,employed,9,unlicensed,ByBirth,60,396,+
female,24.08,0.5,married,customer,Materials,Black,1.25,not defaulted,employed,1,unlicensed,ByBirth,0,678,+
female,41.33,1,married,customer,ConsDisc,Asian,2.25,not defaulted,unemployed,0,licensed,ByBirth,0,300,+
male,24.83,2.75,married,customer,Energy,White,2.25,not defaulted,employed,6,unlicensed,ByBirth,0,600,+
female,20.75,10.25,married,customer,Materials,White,0.71,not defaulted,employed,2,licensed,ByBirth,49,0,+
male,36.33,2.125,unmarried,non customer,Industrials,White,0.085,not defaulted,employed,1,unlicensed,ByBirth,50,1187,+
female,35.42,12,married,customer,Materials,Black,14,not defaulted,employed,8,unlicensed,ByBirth,0,6590,+
female,71.58,0,married,customer,Energy,White,0,defaulted,unemployed,0,unlicensed,Temporary,0,0,+
male,28.67,9.335,married,customer,Materials,Black,5.665,not defaulted,employed,6,unlicensed,ByBirth,381,168,+
male,35.17,2.5,married,customer,Financials,White,4.5,not defaulted,employed,7,unlicensed,ByBirth,150,1270,+
male,39.5,4.25,married,customer,Energy,Asian,6.5,not defaulted,employed,16,unlicensed,ByBirth,117,1210,+
male,39.33,5.875,married,customer,IT,Black,10,not defaulted,employed,14,licensed,ByBirth,399,0,+
male,24.33,6.625,unmarried,non customer,Real Estate,White,5.5,not defaulted,unemployed,0,licensed,ByOtherMeans,100,0,+
male,60.08,14.5,married,customer,Healthcare,Latino,18,not defaulted,employed,15,licensed,ByBirth,0,1000,+
male,23.08,11.5,married,customer,ConsDisc,White,3.5,not defaulted,employed,9,unlicensed,ByBirth,56,742,+
male,26.67,2.71,unmarried,non customer,IT,White,5.25,not defaulted,employed,1,unlicensed,ByBirth,211,0,+
male,48.17,3.5,married,customer,ConsStaps,White,3.5,not defaulted,unemployed,0,unlicensed,ByOtherMeans,230,0,+
male,41.17,4.04,married,customer,IT,Black,7,not defaulted,employed,8,unlicensed,ByBirth,320,0,+
male,55.92,11.5,married,customer,Healthcare,Latino,5,not defaulted,employed,5,unlicensed,ByBirth,0,8851,+
male,53.92,9.625,married,customer,Education,White,8.665,not defaulted,employed,5,unlicensed,ByBirth,0,0,+
female,18.92,9.25,unmarried,non customer,Energy,White,1,not defaulted,employed,4,licensed,ByBirth,80,500,+
female,50.08,12.54,married,customer,ConsStaps,White,2.29,not defaulted,employed,3,licensed,ByBirth,156,0,+
male,65.42,11,married,customer,Education,Other,20,not defaulted,employed,7,licensed,ByBirth,22,0,+
female,17.58,9,married,customer,ConsStaps,White,1.375,not defaulted,unemployed,0,licensed,ByBirth,0,0,+
female,18.83,9.54,married,customer,ConsStaps,White,0.085,not defaulted,unemployed,0,unlicensed,ByBirth,100,0,+
female,37.75,5.5,married,customer,Materials,White,0.125,not defaulted,unemployed,0,licensed,ByBirth,228,0,+
male,23.25,4,married,customer,Energy,Asian,0.25,not defaulted,unemployed,0,licensed,ByBirth,160,0,+
male,18.08,5.5,married,customer,Financials,White,0.5,not defaulted,unemployed,0,unlicensed,ByBirth,80,0,+
female,22.5,8.46,unmarried,non customer,Utilities,White,2.46,defaulted,unemployed,0,unlicensed,ByBirth,164,0,+
male,19.67,0.375,married,customer,Materials,White,2,not defaulted,employed,2,licensed,ByBirth,80,0,+
male,22.08,11,married,customer,IT,White,0.665,not defaulted,unemployed,0,unlicensed,ByBirth,100,0,+
male,25.17,3.5,married,customer,IT,White,0.625,not defaulted,employed,7,unlicensed,ByBirth,0,7059,+
female,47.42,3,married,customer,Utilities,White,13.875,not defaulted,employed,2,licensed,ByBirth,519,1704,+
male,33.5,1.75,married,customer,Utilities,Black,4.5,not defaulted,employed,4,licensed,ByBirth,253,857,+
male,27.67,13.75,married,customer,Industrials,White,5.75,not defaulted,unemployed,0,licensed,ByBirth,487,500,+
female,58.42,21,married,customer,ConsDisc,Asian,10,not defaulted,employed,13,unlicensed,ByBirth,0,6700,+
female,20.67,1.835,married,customer,Materials,White,2.085,not defaulted,employed,5,unlicensed,ByBirth,220,2503,+
male,26.17,0.25,married,customer,ConsDisc,Asian,0,not defaulted,unemployed,0,licensed,ByBirth,0,0,+
male,21.33,7.5,married,customer,ConsStaps,White,1.415,not defaulted,employed,1,unlicensed,ByBirth,80,9800,+
male,42.83,4.625,married,customer,Materials,White,4.58,not defaulted,unemployed,0,unlicensed,ByOtherMeans,0,0,+
male,38.17,10.125,married,customer,Utilities,White,2.5,not defaulted,employed,6,unlicensed,ByBirth,520,196,+
male,20.5,10,unmarried,non customer,Energy,White,2.5,not defaulted,unemployed,0,unlicensed,ByOtherMeans,40,0,+
male,48.25,25.085,married,customer,Industrials,White,1.75,not defaulted,employed,3,unlicensed,ByBirth,120,14,+
male,28.33,5,married,customer,Industrials,White,11,not defaulted,unemployed,0,licensed,ByBirth,70,0,+
female,18.75,7.5,married,customer,Materials,White,2.71,not defaulted,employed,5,unlicensed,ByBirth,0,26726,+
male,18.5,2,married,customer,ConsDisc,White,1.5,not defaulted,employed,2,unlicensed,ByBirth,120,300,+
male,33.17,3.04,unmarried,non customer,Energy,Black,2.04,not defaulted,employed,1,licensed,ByBirth,180,18027,+
male,45,8.5,married,customer,IT,Black,14,not defaulted,employed,1,licensed,ByBirth,88,2000,+
female,19.67,0.21,married,customer,Materials,Black,0.29,not defaulted,employed,11,unlicensed,ByBirth,80,99,+
male,24.5,12.75,married,customer,Energy,Asian,4.75,not defaulted,employed,2,unlicensed,ByBirth,73,444,+
male,21.83,11,married,customer,Utilities,White,0.29,not defaulted,employed,6,unlicensed,ByBirth,121,0,+
male,40.25,21.5,married,customer,Education,Other,20,not defaulted,employed,11,unlicensed,ByBirth,0,1200,+
